Vitesse_commande, Angle_commande, acc_mean, psi_mean, Vitesse_reelle, Courbure 
20 , 12 , 6.0820990926070975 , 2.474728346397732 , 2.4576835277537965 , 37.248480193551096 
20 , 10 , 5.866455493275965 , 2.2280317821975903 , 2.6330214587377485 , 29.121822027324846 
20 , 8 , 5.401713786594294 , 1.9019432019641456 , 2.8401025756268217 , 19.540094325851108 
19 , -8 , -7.389377438706596 , -1.5403549367075136 , 4.797191389214023 , -17.532726569350725 
19 , -10 , -7.905830745098633 , -1.8279646588752787 , 4.324936320138148 , -26.4169760445294 
19 , 8 , 1.2543680569440563 , 0.6321807683415382 , 1.9841920535399438 , 0.5013113598081823 
Vitesse_commande, Angle_commande, acc_mean, psi_mean, Vitesse_reelle, Courbure 
17 , -5 , -4.76551027667892 , -1.018423726843984 , 4.679300129276117 , -4.942724770735554 
17 , -8 , -6.455148731097496 , -1.6014093761096655 , 4.0309172828618705 , -16.554306317435323 
17 , -10 , -7.261104670524586 , -1.9585752872258166 , 3.707340084337236 , -27.853722085695814 
17 , -12 , -7.574985760275971 , -2.2068622337952593 , 3.4324687985841607 , -36.89200561017326 
17 , 5 , 1.6149082633346472 , 1.0491923684690332 , 1.5391917744227388 , 1.777698486931061 
17 , 8 , 2.8267152292718625 , 1.569444530902342 , 1.8010927902285663 , 6.962640960516357 
17 , 10 , 3.496554030552262 , 1.9323709281147357 , 1.8094631727685837 , 13.056333465650843 
17 , 12 , 3.912661008081606 , 2.2182260312973687 , 1.7638693951279694 , 19.25235305975127 
18 , 12 , 5.057689257847932 , 2.380795275239904 , 2.1243696635521454 , 28.667924164934053 
18 , 10 , 4.595854128858783 , 2.0725961166216345 , 2.217438357623723 , 19.742202217422918 
18 , 8 , 3.9983821134420943 , 1.706796889731424 , 2.342623271402414 , 11.647909335864242 
18 , 5 , 2.7568042193514923 , 1.1560090709297903 , 2.3847600236684694 , 3.6840745391677556 
18 , -5 , -5.900669267673936 , -1.1422681116208064 , 5.165748047803994 , -7.6990542337642225 
18 , 8 , -1.290417556463202 , 0.19468106652799474 , -6.628366997761658 , -0.048907751476796796 
18 , -8 , -7.281081026639205 , -1.7582785398964509 , 4.141028205387757 , -22.509778166501132 
18 , -10 , -7.79193229200805 , -2.0744772867005867 , 3.7560942903361245 , -33.53223787521632 
18 , -12 , -8.03240080871824 , -2.3171966469196383 , 3.4664303607534124 , -43.129175316032935 
20 , -12 , -8.915462676088682 , -2.293208482882006 , 3.8877680518973623 , -46.88468099964722 
20 , -10 , -8.675317240134003 , -2.086668416868826 , 4.157496787703265 , -37.77393690824325 
20 , -8 , -8.320461112040086 , -1.7497817349096083 , 4.755142282057203 , -25.475056320318092 
20 , -5 , -0.1945757573915567 , -0.12906099189646655 , 1.5076263906885703 , -0.003240997729044967 
20 , -5 , -1.461024925633038 , -0.10243602244727726 , 14.262804145729225 , -0.015330737181255216 
20 , 12 , -1.4516252195226698 , 0.008863220992085157 , -163.7807768551601 , -0.00011403486707438119 
20 , 12 , 6.0820990926070975 , 2.474728346397732 , 2.4576835277537965 , 37.248480193551096 
20 , 10 , 5.866455493275965 , 2.2280317821975903 , 2.6330214587377485 , 29.121822027324846 
20 , 8 , 5.401713786594294 , 1.9019432019641456 , 2.8401025756268217 , 19.540094325851108 
19 , -8 , -7.389377438706596 , -1.5403549367075136 , 4.797191389214023 , -17.532726569350725 
19 , -10 , -7.905830745098633 , -1.8279646588752787 , 4.324936320138148 , -26.4169760445294 
19 , 8 , 1.2543680569440563 , 0.6321807683415382 , 1.9841920535399438 , 0.5013113598081823 
Vitesse_commande, Angle_commande, acc_mean, psi_mean, Vitesse_reelle, Courbure 
17 , -5 , -4.76551027667892 , -1.018423726843984 , 4.679300129276117 , -4.942724770735554 
17 , -8 , -6.455148731097496 , -1.6014093761096655 , 4.0309172828618705 , -16.554306317435323 
17 , -10 , -7.261104670524586 , -1.9585752872258166 , 3.707340084337236 , -27.853722085695814 
17 , -12 , -7.574985760275971 , -2.2068622337952593 , 3.4324687985841607 , -36.89200561017326 
17 , 5 , 1.6149082633346472 , 1.0491923684690332 , 1.5391917744227388 , 1.777698486931061 
17 , 8 , 2.8267152292718625 , 1.569444530902342 , 1.8010927902285663 , 6.962640960516357 
17 , 10 , 3.496554030552262 , 1.9323709281147357 , 1.8094631727685837 , 13.056333465650843 
17 , 12 , 3.912661008081606 , 2.2182260312973687 , 1.7638693951279694 , 19.25235305975127 
18 , 12 , 5.057689257847932 , 2.380795275239904 , 2.1243696635521454 , 28.667924164934053 
18 , 10 , 4.595854128858783 , 2.0725961166216345 , 2.217438357623723 , 19.742202217422918 
18 , 8 , 3.9983821134420943 , 1.706796889731424 , 2.342623271402414 , 11.647909335864242 
18 , 5 , 2.7568042193514923 , 1.1560090709297903 , 2.3847600236684694 , 3.6840745391677556 
18 , -5 , -5.900669267673936 , -1.1422681116208064 , 5.165748047803994 , -7.6990542337642225 
18 , 8 , -1.290417556463202 , 0.19468106652799474 , -6.628366997761658 , -0.048907751476796796 
18 , -8 , -7.281081026639205 , -1.7582785398964509 , 4.141028205387757 , -22.509778166501132 
18 , -10 , -7.79193229200805 , -2.0744772867005867 , 3.7560942903361245 , -33.53223787521632 
18 , -12 , -8.03240080871824 , -2.3171966469196383 , 3.4664303607534124 , -43.129175316032935 
20 , -12 , -8.915462676088682 , -2.293208482882006 , 3.8877680518973623 , -46.88468099964722 
20 , -10 , -8.675317240134003 , -2.086668416868826 , 4.157496787703265 , -37.77393690824325 
20 , -8 , -8.320461112040086 , -1.7497817349096083 , 4.755142282057203 , -25.475056320318092 
20 , -5 , -0.1945757573915567 , -0.12906099189646655 , 1.5076263906885703 , -0.003240997729044967 
20 , -5 , -1.461024925633038 , -0.10243602244727726 , 14.262804145729225 , -0.015330737181255216 
20 , 12 , -1.4516252195226698 , 0.008863220992085157 , -163.7807768551601 , -0.00011403486707438119 
20 , 12 , 6.0820990926070975 , 2.474728346397732 , 2.4576835277537965 , 37.248480193551096 
20 , 10 , 5.866455493275965 , 2.2280317821975903 , 2.6330214587377485 , 29.121822027324846 
20 , 8 , 5.401713786594294 , 1.9019432019641456 , 2.8401025756268217 , 19.540094325851108 
19 , -8 , -7.389377438706596 , -1.5403549367075136 , 4.797191389214023 , -17.532726569350725 
19 , -10 , -7.905830745098633 , -1.8279646588752787 , 4.324936320138148 , -26.4169760445294 
19 , 8 , 1.2543680569440563 , 0.6321807683415382 , 1.9841920535399438 , 0.5013113598081823 
Vitesse_commande, Angle_commande, acc_mean, psi_mean, Vitesse_reelle, Courbure 
17 , -5 , -4.76551027667892 , -1.018423726843984 , 4.679300129276117 , -4.942724770735554 
17 , -8 , -6.455148731097496 , -1.6014093761096655 , 4.0309172828618705 , -16.554306317435323 
17 , -10 , -7.261104670524586 , -1.9585752872258166 , 3.707340084337236 , -27.853722085695814 
17 , -12 , -7.574985760275971 , -2.2068622337952593 , 3.4324687985841607 , -36.89200561017326 
17 , 5 , 1.6149082633346472 , 1.0491923684690332 , 1.5391917744227388 , 1.777698486931061 
17 , 8 , 2.8267152292718625 , 1.569444530902342 , 1.8010927902285663 , 6.962640960516357 
17 , 10 , 3.496554030552262 , 1.9323709281147357 , 1.8094631727685837 , 13.056333465650843 
17 , 12 , 3.912661008081606 , 2.2182260312973687 , 1.7638693951279694 , 19.25235305975127 
18 , 12 , 5.057689257847932 , 2.380795275239904 , 2.1243696635521454 , 28.667924164934053 
18 , 10 , 4.595854128858783 , 2.0725961166216345 , 2.217438357623723 , 19.742202217422918 
18 , 8 , 3.9983821134420943 , 1.706796889731424 , 2.342623271402414 , 11.647909335864242 
18 , 5 , 2.7568042193514923 , 1.1560090709297903 , 2.3847600236684694 , 3.6840745391677556 
18 , -5 , -5.900669267673936 , -1.1422681116208064 , 5.165748047803994 , -7.6990542337642225 
18 , 8 , -1.290417556463202 , 0.19468106652799474 , -6.628366997761658 , -0.048907751476796796 
18 , -8 , -7.281081026639205 , -1.7582785398964509 , 4.141028205387757 , -22.509778166501132 
18 , -10 , -7.79193229200805 , -2.0744772867005867 , 3.7560942903361245 , -33.53223787521632 
18 , -12 , -8.03240080871824 , -2.3171966469196383 , 3.4664303607534124 , -43.129175316032935 
20 , -12 , -8.915462676088682 , -2.293208482882006 , 3.8877680518973623 , -46.88468099964722 
20 , -10 , -8.675317240134003 , -2.086668416868826 , 4.157496787703265 , -37.77393690824325 
20 , -8 , -8.320461112040086 , -1.7497817349096083 , 4.755142282057203 , -25.475056320318092 
20 , -5 , -0.1945757573915567 , -0.12906099189646655 , 1.5076263906885703 , -0.003240997729044967 
20 , -5 , -1.461024925633038 , -0.10243602244727726 , 14.262804145729225 , -0.015330737181255216 
20 , 12 , -1.4516252195226698 , 0.008863220992085157 , -163.7807768551601 , -0.00011403486707438119 
20 , 12 , 6.0820990926070975 , 2.474728346397732 , 2.4576835277537965 , 37.248480193551096 
20 , 10 , 5.866455493275965 , 2.2280317821975903 , 2.6330214587377485 , 29.121822027324846 
20 , 8 , 5.401713786594294 , 1.9019432019641456 , 2.8401025756268217 , 19.540094325851108 
19 , -8 , -7.389377438706596 , -1.5403549367075136 , 4.797191389214023 , -17.532726569350725 
19 , -10 , -7.905830745098633 , -1.8279646588752787 , 4.324936320138148 , -26.4169760445294 
19 , 8 , 1.2543680569440563 , 0.6321807683415382 , 1.9841920535399438 , 0.5013113598081823 
Vitesse_commande, Angle_commande, acc_mean, psi_mean, Vitesse_reelle, Courbure 
17 , -5 , -4.76551027667892 , -1.018423726843984 , 4.679300129276117 , -4.942724770735554 
17 , -8 , -6.455148731097496 , -1.6014093761096655 , 4.0309172828618705 , -16.554306317435323 
17 , -10 , -7.261104670524586 , -1.9585752872258166 , 3.707340084337236 , -27.853722085695814 
17 , -12 , -7.574985760275971 , -2.2068622337952593 , 3.4324687985841607 , -36.89200561017326 
17 , 5 , 1.6149082633346472 , 1.0491923684690332 , 1.5391917744227388 , 1.777698486931061 
17 , 8 , 2.8267152292718625 , 1.569444530902342 , 1.8010927902285663 , 6.962640960516357 
17 , 10 , 3.496554030552262 , 1.9323709281147357 , 1.8094631727685837 , 13.056333465650843 
17 , 12 , 3.912661008081606 , 2.2182260312973687 , 1.7638693951279694 , 19.25235305975127 
18 , 12 , 5.057689257847932 , 2.380795275239904 , 2.1243696635521454 , 28.667924164934053 
18 , 10 , 4.595854128858783 , 2.0725961166216345 , 2.217438357623723 , 19.742202217422918 
18 , 8 , 3.9983821134420943 , 1.706796889731424 , 2.342623271402414 , 11.647909335864242 
18 , 5 , 2.7568042193514923 , 1.1560090709297903 , 2.3847600236684694 , 3.6840745391677556 
18 , -5 , -5.900669267673936 , -1.1422681116208064 , 5.165748047803994 , -7.6990542337642225 
18 , 8 , -1.290417556463202 , 0.19468106652799474 , -6.628366997761658 , -0.048907751476796796 
18 , -8 , -7.281081026639205 , -1.7582785398964509 , 4.141028205387757 , -22.509778166501132 
18 , -10 , -7.79193229200805 , -2.0744772867005867 , 3.7560942903361245 , -33.53223787521632 
18 , -12 , -8.03240080871824 , -2.3171966469196383 , 3.4664303607534124 , -43.129175316032935 
20 , -12 , -8.915462676088682 , -2.293208482882006 , 3.8877680518973623 , -46.88468099964722 
20 , -10 , -8.675317240134003 , -2.086668416868826 , 4.157496787703265 , -37.77393690824325 
20 , -8 , -8.320461112040086 , -1.7497817349096083 , 4.755142282057203 , -25.475056320318092 
20 , -5 , -0.1945757573915567 , -0.12906099189646655 , 1.5076263906885703 , -0.003240997729044967 
20 , -5 , -1.461024925633038 , -0.10243602244727726 , 14.262804145729225 , -0.015330737181255216 
20 , 12 , -1.4516252195226698 , 0.008863220992085157 , -163.7807768551601 , -0.00011403486707438119 
20 , 12 , 6.0820990926070975 , 2.474728346397732 , 2.4576835277537965 , 37.248480193551096 
20 , 10 , 5.866455493275965 , 2.2280317821975903 , 2.6330214587377485 , 29.121822027324846 
20 , 8 , 5.401713786594294 , 1.9019432019641456 , 2.8401025756268217 , 19.540094325851108 
19 , -8 , -7.389377438706596 , -1.5403549367075136 , 4.797191389214023 , -17.532726569350725 
19 , -10 , -7.905830745098633 , -1.8279646588752787 , 4.324936320138148 , -26.4169760445294 
19 , 8 , 1.2543680569440563 , 0.6321807683415382 , 1.9841920535399438 , 0.5013113598081823 
Vitesse_commande, Angle_commande, acc_mean, psi_mean, Vitesse_reelle, Courbure 
17 , -5 , -4.76551027667892 , -1.018423726843984 , 4.679300129276117 , -4.942724770735554 
17 , -8 , -6.455148731097496 , -1.6014093761096655 , 4.0309172828618705 , -16.554306317435323 
17 , -10 , -7.261104670524586 , -1.9585752872258166 , 3.707340084337236 , -27.853722085695814 
17 , -12 , -7.574985760275971 , -2.2068622337952593 , 3.4324687985841607 , -36.89200561017326 
17 , 5 , 1.6149082633346472 , 1.0491923684690332 , 1.5391917744227388 , 1.777698486931061 
17 , 8 , 2.8267152292718625 , 1.569444530902342 , 1.8010927902285663 , 6.962640960516357 
17 , 10 , 3.496554030552262 , 1.9323709281147357 , 1.8094631727685837 , 13.056333465650843 
17 , 12 , 3.912661008081606 , 2.2182260312973687 , 1.7638693951279694 , 19.25235305975127 
18 , 12 , 5.057689257847932 , 2.380795275239904 , 2.1243696635521454 , 28.667924164934053 
18 , 10 , 4.595854128858783 , 2.0725961166216345 , 2.217438357623723 , 19.742202217422918 
18 , 8 , 3.9983821134420943 , 1.706796889731424 , 2.342623271402414 , 11.647909335864242 
18 , 5 , 2.7568042193514923 , 1.1560090709297903 , 2.3847600236684694 , 3.6840745391677556 
18 , -5 , -5.900669267673936 , -1.1422681116208064 , 5.165748047803994 , -7.6990542337642225 
18 , 8 , -1.290417556463202 , 0.19468106652799474 , -6.628366997761658 , -0.048907751476796796 
18 , -8 , -7.281081026639205 , -1.7582785398964509 , 4.141028205387757 , -22.509778166501132 
18 , -10 , -7.79193229200805 , -2.0744772867005867 , 3.7560942903361245 , -33.53223787521632 
18 , -12 , -8.03240080871824 , -2.3171966469196383 , 3.4664303607534124 , -43.129175316032935 
20 , -12 , -8.915462676088682 , -2.293208482882006 , 3.8877680518973623 , -46.88468099964722 
20 , -10 , -8.675317240134003 , -2.086668416868826 , 4.157496787703265 , -37.77393690824325 
20 , -8 , -8.320461112040086 , -1.7497817349096083 , 4.755142282057203 , -25.475056320318092 
20 , -5 , -0.1945757573915567 , -0.12906099189646655 , 1.5076263906885703 , -0.003240997729044967 
20 , -5 , -1.461024925633038 , -0.10243602244727726 , 14.262804145729225 , -0.015330737181255216 
20 , 12 , -1.4516252195226698 , 0.008863220992085157 , -163.7807768551601 , -0.00011403486707438119 
20 , 12 , 6.0820990926070975 , 2.474728346397732 , 2.4576835277537965 , 37.248480193551096 
20 , 10 , 5.866455493275965 , 2.2280317821975903 , 2.6330214587377485 , 29.121822027324846 
20 , 8 , 5.401713786594294 , 1.9019432019641456 , 2.8401025756268217 , 19.540094325851108 
19 , -8 , -7.389377438706596 , -1.5403549367075136 , 4.797191389214023 , -17.532726569350725 
19 , -10 , -7.905830745098633 , -1.8279646588752787 , 4.324936320138148 , -26.4169760445294 
19 , 8 , 1.2543680569440563 , 0.6321807683415382 , 1.9841920535399438 , 0.5013113598081823 
Vitesse_commande, Angle_commande, acc_mean, psi_mean, Vitesse_reelle, Courbure 
17 , -5 , -4.76551027667892 , -1.018423726843984 , 4.679300129276117 , -4.942724770735554 
17 , -8 , -6.455148731097496 , -1.6014093761096655 , 4.0309172828618705 , -16.554306317435323 
17 , -10 , -7.261104670524586 , -1.9585752872258166 , 3.707340084337236 , -27.853722085695814 
17 , -12 , -7.574985760275971 , -2.2068622337952593 , 3.4324687985841607 , -36.89200561017326 
17 , 5 , 1.6149082633346472 , 1.0491923684690332 , 1.5391917744227388 , 1.777698486931061 
17 , 8 , 2.8267152292718625 , 1.569444530902342 , 1.8010927902285663 , 6.962640960516357 
17 , 10 , 3.496554030552262 , 1.9323709281147357 , 1.8094631727685837 , 13.056333465650843 
17 , 12 , 3.912661008081606 , 2.2182260312973687 , 1.7638693951279694 , 19.25235305975127 
18 , 12 , 5.057689257847932 , 2.380795275239904 , 2.1243696635521454 , 28.667924164934053 
18 , 10 , 4.595854128858783 , 2.0725961166216345 , 2.217438357623723 , 19.742202217422918 
18 , 8 , 3.9983821134420943 , 1.706796889731424 , 2.342623271402414 , 11.647909335864242 
18 , 5 , 2.7568042193514923 , 1.1560090709297903 , 2.3847600236684694 , 3.6840745391677556 
18 , -5 , -5.900669267673936 , -1.1422681116208064 , 5.165748047803994 , -7.6990542337642225 
18 , 8 , -1.290417556463202 , 0.19468106652799474 , -6.628366997761658 , -0.048907751476796796 
18 , -8 , -7.281081026639205 , -1.7582785398964509 , 4.141028205387757 , -22.509778166501132 
18 , -10 , -7.79193229200805 , -2.0744772867005867 , 3.7560942903361245 , -33.53223787521632 
18 , -12 , -8.03240080871824 , -2.3171966469196383 , 3.4664303607534124 , -43.129175316032935 
20 , -12 , -8.915462676088682 , -2.293208482882006 , 3.8877680518973623 , -46.88468099964722 
20 , -10 , -8.675317240134003 , -2.086668416868826 , 4.157496787703265 , -37.77393690824325 
20 , -8 , -8.320461112040086 , -1.7497817349096083 , 4.755142282057203 , -25.475056320318092 
20 , -5 , -0.1945757573915567 , -0.12906099189646655 , 1.5076263906885703 , -0.003240997729044967 
20 , -5 , -1.461024925633038 , -0.10243602244727726 , 14.262804145729225 , -0.015330737181255216 
20 , 12 , -1.4516252195226698 , 0.008863220992085157 , -163.7807768551601 , -0.00011403486707438119 
20 , 12 , 6.0820990926070975 , 2.474728346397732 , 2.4576835277537965 , 37.248480193551096 
20 , 10 , 5.866455493275965 , 2.2280317821975903 , 2.6330214587377485 , 29.121822027324846 
20 , 8 , 5.401713786594294 , 1.9019432019641456 , 2.8401025756268217 , 19.540094325851108 
19 , -8 , -7.389377438706596 , -1.5403549367075136 , 4.797191389214023 , -17.532726569350725 
19 , -10 , -7.905830745098633 , -1.8279646588752787 , 4.324936320138148 , -26.4169760445294 
19 , 8 , 1.2543680569440563 , 0.6321807683415382 , 1.9841920535399438 , 0.5013113598081823 
Vitesse_commande, Angle_commande, acc_mean, psi_mean, Vitesse_reelle, Courbure 
17 , -5 , -4.76551027667892 , -1.018423726843984 , 4.679300129276117 , -4.942724770735554 
17 , -8 , -6.455148731097496 , -1.6014093761096655 , 4.0309172828618705 , -16.554306317435323 
17 , -10 , -7.261104670524586 , -1.9585752872258166 , 3.707340084337236 , -27.853722085695814 
17 , -12 , -7.574985760275971 , -2.2068622337952593 , 3.4324687985841607 , -36.89200561017326 
17 , 5 , 1.6149082633346472 , 1.0491923684690332 , 1.5391917744227388 , 1.777698486931061 
17 , 8 , 2.8267152292718625 , 1.569444530902342 , 1.8010927902285663 , 6.962640960516357 
17 , 10 , 3.496554030552262 , 1.9323709281147357 , 1.8094631727685837 , 13.056333465650843 
17 , 12 , 3.912661008081606 , 2.2182260312973687 , 1.7638693951279694 , 19.25235305975127 
18 , 12 , 5.057689257847932 , 2.380795275239904 , 2.1243696635521454 , 28.667924164934053 
18 , 10 , 4.595854128858783 , 2.0725961166216345 , 2.217438357623723 , 19.742202217422918 
18 , 8 , 3.9983821134420943 , 1.706796889731424 , 2.342623271402414 , 11.647909335864242 
18 , 5 , 2.7568042193514923 , 1.1560090709297903 , 2.3847600236684694 , 3.6840745391677556 
18 , -5 , -5.900669267673936 , -1.1422681116208064 , 5.165748047803994 , -7.6990542337642225 
18 , 8 , -1.290417556463202 , 0.19468106652799474 , -6.628366997761658 , -0.048907751476796796 
18 , -8 , -7.281081026639205 , -1.7582785398964509 , 4.141028205387757 , -22.509778166501132 
18 , -10 , -7.79193229200805 , -2.0744772867005867 , 3.7560942903361245 , -33.53223787521632 
18 , -12 , -8.03240080871824 , -2.3171966469196383 , 3.4664303607534124 , -43.129175316032935 
20 , -12 , -8.915462676088682 , -2.293208482882006 , 3.8877680518973623 , -46.88468099964722 
20 , -10 , -8.675317240134003 , -2.086668416868826 , 4.157496787703265 , -37.77393690824325 
20 , -8 , -8.320461112040086 , -1.7497817349096083 , 4.755142282057203 , -25.475056320318092 
20 , -5 , -0.1945757573915567 , -0.12906099189646655 , 1.5076263906885703 , -0.003240997729044967 
20 , -5 , -1.461024925633038 , -0.10243602244727726 , 14.262804145729225 , -0.015330737181255216 
20 , 12 , -1.4516252195226698 , 0.008863220992085157 , -163.7807768551601 , -0.00011403486707438119 
20 , 12 , 6.0820990926070975 , 2.474728346397732 , 2.4576835277537965 , 37.248480193551096 
20 , 10 , 5.866455493275965 , 2.2280317821975903 , 2.6330214587377485 , 29.121822027324846 
20 , 8 , 5.401713786594294 , 1.9019432019641456 , 2.8401025756268217 , 19.540094325851108 
19 , -8 , -7.389377438706596 , -1.5403549367075136 , 4.797191389214023 , -17.532726569350725 
19 , -10 , -7.905830745098633 , -1.8279646588752787 , 4.324936320138148 , -26.4169760445294 
19 , 8 , 1.2543680569440563 , 0.6321807683415382 , 1.9841920535399438 , 0.5013113598081823 
